PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,OpeningTags
0Qhfz,r3k2r/pp1n1ppp/2pBp3/3B2Q1/3q4/P5PP/2P2P2/R4RK1 b kq - 0 17,c6d5 g5e7,723,82,96,228,mate mateIn1 middlegame oneMove,Scandinavian Defense: Schiller-Pytel Variation
0Qqlg,r3k1r1/1pp1bppp/p1bqpn2/8/3P1B1P/2N3Q1/PPP1N1P1/2KR3R b q - 2 13,f6h5 f4d6 h5g3 d6g3,1579,76,93,5368,advantage middlegame short,Blackmar-Diemer Gambit Declined: Weinsbach Declination
0QqqR,bn1q1rk1/2p2ppp/1n2p3/1N2P3/2pP4/1P3N2/3bBPPP/3Q1RK1 w - - 0 15,f3d2 d8d5 d2f3 d5b5,1826,74,93,2210,advantage middlegame short,Queens Gambit Accepted: Bogoljubov Defense
0QrbO,rn3rk1/pp3p1p/2pb2p1/P7/1PP1Q3/5N1q/1B3P2/R4RK1 b - - 0 19,b8d7 e4d4 f7f6 d4d6 h3f3 d6d7,1609,74,96,10390,advantage long middlegame,Caro-Kann Defense: Alekhine Gambit
0R1kZ,r3k2r/3nb1Qp/p2p4/nB1P1q2/4p3/7P/PPP2PP1/R1B2RK1 b kq - 0 17,e7f6 b5d7 f5d7 g7f6,1573,75,85,71,crushing fork middlegame short,Philidor Defense: Lopez Countergambit
0RLlw,r2q1rk1/4b1pp/n1bpNn2/2p5/8/1QN1P3/PP3PPP/R1B2RK1 b - - 0 14,d8d7 e6c5 g8h8 c5d7,1338,76,93,4110,crushing discoveredAttack middlegame short,Benko Gambit Accepted: Modern Variation
0RSEl,3r1rk1/pp3pbp/6p1/3np3/8/4B1P1/PP3PP1/1K1R1B1R w - - 0 18,e3a7 d5c3 b2c3 d8d1,904,112,83,40,crushing discoveredAttack middlegame queensideAttack short,Modern Defense: Kotov Variation
0RcP9,r4rk1/pp1n1ppp/2n5/2q3B1/P1B3b1/5N2/1PQ2PPP/R3R1K1 w - - 6 16,a1d1 g4f3 d1d7 c5g5,1199,76,91,780,capturingDefender crushing middlegame pin short,Slav Defense: Soultanbeieff Variation
0RrFz,r4rk1/ppp2ppp/2nbp3/6B1/6qN/2PP1P2/P1PQ2PP/R4RK1 b - - 0 14,g4h5 g2g4 h5g5 d2g5,1234,78,92,630,crushing middlegame short trappedPiece,Alekhine Defense: Maroczy Variation
0Rzvk,r2q4/ppp3kp/4rnp1/8/1n2p3/2Q2P2/PPPN2PP/R1B1K2R w KQ - 0 16,d2e4 b4d5 c3b3 f6e4,2076,75,86,170,advantage middlegame short,Center Game: von der Lasa Gambit
0SC70,rn2kb1r/p2ppp1p/b2P2p1/4P3/4Q3/2N5/PP1KNq1P/R1B4R b kq - 0 13,f8h6 d2d1 b8c6 c1h6,2154,80,83,361,advantage defensiveMove discoveredAttack middlegame short,Alekhine Defense: OSullivan Gambit
0SKTB,rnbqk3/pppp1p2/4pn1Q/8/3Pr2P/8/PPP1BPP1/RN2K2R b KQq - 1 12,d8e7 h6h8 f6g8 h8g8,898,82,90,130,advantage opening short,Borg Defense: Other variations
0StqS,3r1rk1/pp3ppp/2n1bb2/1qPp4/N3nB1P/P4NP1/1P2PPB1/2RQ1RK1 w - - 1 15,e2e3 d5d4 e3d4 c6d4,2537,98,90,753,advantage middlegame short,Tarrasch Defense: Prague Variation
0T15m,r1bqkb1r/ppp2ppp/1nnpp3/4P3/3P4/1B3Q2/PPP1N1PP/RNB2RK1 b kq - 3 9,d6e5 f3f7,1120,76,90,1397,attackingF2F7 mate mateIn1 oneMove opening,Alekhine Defense: Normal Variation
0TC6D,r2q1rk1/5ppp/p2p1b2/1ppPn3/4P3/P1N1BN1b/1P2BP2/R2QR2K w - - 6 18,f3e5 f6e5 f2f4 d8h4,1866,75,91,133,advantage middlegame short,Benoni Defense: Kings Pawn Line
0TZ6x,1rb1r1k1/1pq2pbp/p2p1np1/P1pP4/4PPn1/R1N5/1P1NB1PP/2BQR1K1 w - - 1 16,d2c4 f6e4 e2g4 c8g4 d1g4 e4c3,2668,84,91,859,advantage long middlegame,Benoni Defense: Knights Tour Variation
0TZip,r2r2k1/5ppp/2n1pq2/p1p5/PpN5/1P1P2P1/2P2PKP/R2QR3 w - - 2 19,d1f3 f6f3 g2f3 c6d4,1330,76,91,1254,advantage attraction master middlegame short,Kings Indian Attack: Spassky Variation
0ThDi,rn2kbnr/ppp2ppp/8/3pq3/4P1b1/2N2NP1/PPPP3P/R1BQKB1R w KQkq - 2 7,c3d5 e5e4 d1e2 g4f3 e2e4 f3e4,1301,75,95,6665,crushing fork long opening,Kings Gambit Declined: Keene Defense
0TxiG,r1bqkb1r/pp2pppp/2np4/3P4/4n3/N7/PP2BPPP/R1BQK1NR b KQkq - 0 7,c6b8 d1a4 b8d7 a4e4,1239,76,90,632,advantage fork opening short,Sicilian Defense: Kronberger Variation
0UFIa,2kr3r/ppp1R1pp/2p3q1/5b2/6n1/2Q1B3/PPP2PPP/R5K1 b - - 4 16,c8b8 e3a7 b8c8 c3a5,2447,77,90,476,advantage middlegame queensideAttack short,Scotch Game: Steinitz Variation
0UKoL,r2q1rk1/ppp1bppp/2b2n2/4N3/4P3/2NP4/PPP3PP/R1BQK2R w KQ - 1 10,e1g1 d8d4 g1h1 d4e5,1511,73,95,25361,advantage fork opening short,Rat Defense: Harmonist
